,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
655,656,105000,3/22/2021,"4101 N 69th Ln UNIT 1402, Phoenix, AZ, 85033",850.0,sqft,123.53,1753.0,sqft,,1.33,4101 N 69th Ln UNIT 1402,Phoenix,85033,1,"4101 N 69TH LN, PHOENIX, AZ, 85033",-112.20906724615713,33.49508217934351
656,657,105000,8/19/2021,"3742 W San Juan Ave, Phoenix, AZ, 85019",1304.0,sqft,80.52,6451.0,sqft,3.0,2.75,3742 W San Juan Ave,Phoenix,85019,1,"3742 W SAN JUAN AVE, PHOENIX, AZ, 85019",-112.13983468391586,33.51890317380577
657,658,105000,9/7/2022,"7837 N 33rd Ave, Phoenix, AZ, 85051",2026.0,sqft,51.83,8255.0,sqft,4.0,3.0,7837 N 33rd Ave,Phoenix,85051,1,"7837 N 33RD AVE, PHOENIX, AZ, 85051",-112.1300617930126,33.552359427591455
658,659,105000,12/2/2022,"1111 E Turney Ave UNIT 33L, Phoenix, AZ, 85014",784.0,sqft,133.93,873.0,sqft,,1.0,1111 E Turney Ave UNIT 33L,Phoenix,85014,1,"1111 E TURNEY AVE, PHOENIX, AZ, 85014",-112.05779410717258,33.49990431822158
659,660,105000,4/30/2021,"2625 W Ocotillo Rd UNIT 3, Phoenix, AZ, 85017",880.0,sqft,119.32,894.0,sqft,2.0,1.0,2625 W Ocotillo Rd UNIT 3,Phoenix,85017,1,"2625 W OCOTILLO RD, PHOENIX, AZ, 85017",-112.11526456204768,33.53489157761379
660,661,105000,4/14/2021,"1702 W Tuckey Ln UNIT 122, Phoenix, AZ, 85015",863.0,sqft,121.67,862.0,sqft,2.0,1.0,1702 W Tuckey Ln UNIT 122,Phoenix,85015,1,"1702 W TUCKEY LN, PHOENIX, AZ, 85015",-112.095602694192,33.53438055221494
661,662,105000,11/10/2021,"1702 W Carol Ave, Phoenix, AZ, 85021",956.0,sqft,109.83,7620.0,sqft,,1.0,1702 W Carol Ave,Phoenix,85021,0,"1702 W CAROL AVE, PHOENIX, AZ, 85021",-112.09565724068875,33.572508381348655
662,663,105000,8/15/2022,"18064 N 3rd Pl, Phoenix, AZ, 85022",1120.0,sqft,93.75,8054.0,sqft,,,18064 N 3rd Pl,Phoenix,85022,0,"18064 N 3RD PL, PHOENIX, AZ, 85022",-112.06928902963898,33.64988347279041
663,664,105000,11/30/2021,"19820 N 13th Ave UNIT 242, Phoenix, AZ, 85027",941.0,sqft,111.58,75.0,sqft,,1.67,19820 N 13th Ave UNIT 242,Phoenix,85027,1,"19820 N 13TH AVE, PHOENIX, AZ, 85027",-112.08725091496336,33.66652853951001
664,665,105000,4/23/2021,"18202 N Cave Creek Rd APT 106, Phoenix, AZ, 85032",608.0,sqft,172.7,531.0,sqft,1.0,1.0,18202 N Cave Creek Rd APT 106,Phoenix,85032,1,"18202 N CAVE CREEK RD, PHOENIX, AZ, 85032",-112.03091965454797,33.65147466605771
665,666,105000,6/22/2021,"18202 N Cave Creek Rd APT 206, Phoenix, AZ, 85032",600.0,sqft,175.0,601.0,sqft,1.0,1.0,18202 N Cave Creek Rd APT 206,Phoenix,85032,1,"18202 N CAVE CREEK RD, PHOENIX, AZ, 85032",-112.03091965454797,33.65147466605771
666,667,105000,7/13/2021,"2725 E Grandview Rd, Phoenix, AZ, 85032",600.0,sqft,175.0,1.0,acres,2.0,2.0,2725 E Grandview Rd,Phoenix,85032,0,"2725 E GRANDVIEW RD, PHOENIX, AZ, 85032",-112.02383266146563,33.63525581731881
667,668,105000,12/3/2021,"15402 N 28th St UNIT 105, Phoenix, AZ, 85032",946.0,sqft,110.99,907.0,sqft,,2.0,15402 N 28th St UNIT 105,Phoenix,85032,1,"15402 N 28TH ST, PHOENIX, AZ, 85032",-112.02217994738402,33.62640785145766
668,669,105000,9/2/2022,"2086 E Michelle Dr, Phoenix, AZ, 85022",696.0,sqft,150.86,7434.0,sqft,,,2086 E Michelle Dr,Phoenix,85022,0,"2086 E MICHELLE DR, PHOENIX, AZ, 85022",-112.03605612402856,33.64998494375891
669,670,105000,6/17/2022,"9405 S 14th Ave, Phoenix, AZ, 85041",1350.0,sqft,77.78,1.0,acres,3.0,2.0,9405 S 14th Ave,Phoenix,85041,0,"9405 S 14TH AVE, PHOENIX, AZ, 85041",-112.09157351819886,33.361037586540704
670,671,105000,6/11/2021,"3421 W Dunlap Ave APT 243, Phoenix, AZ, 85051",1172.0,sqft,89.59,1242.0,sqft,3.0,2.0,3421 W Dunlap Ave APT 243,Phoenix,85051,1,"3421 W DUNLAP AVE, PHOENIX, AZ, 85051",-112.13342113937642,33.5674784052689
671,672,105000,11/29/2022,"20027 N 24th Way, Phoenix, AZ, 85050",720.0,sqft,145.83,8180.0,sqft,,,20027 N 24th Way,Phoenix,85050,0,"20027 N 24TH WAY, PHOENIX, AZ, 85050",-112.02921642057288,33.66879359624011
672,673,105000,8/15/2022,"627 W Mohawk Ln, Phoenix, AZ, 85027",1397.0,sqft,75.16,6842.0,sqft,4.0,2.0,627 W Mohawk Ln,Phoenix,85027,1,"627 W MOHAWK LN, PHOENIX, AZ, 85027",-112.08239218067092,33.674580556903834
673,674,105000,11/20/2023,"5237 N 23rd Ave, Phoenix, AZ, 85015",777.0,sqft,135.14,8537.0,sqft,,1.0,5237 N 23rd Ave,Phoenix,85015,0,"5237 N 23RD AVE, PHOENIX, AZ, 85015",-112.10832798958825,33.513860439964105
674,675,105000,12/29/2023,"17633 N 18th Dr, Phoenix, AZ, 85023",,,,1.1,acres,,,17633 N 18th Dr,Phoenix,85023,0,"17633 N 18TH DR, PHOENIX, AZ, 85023",-112.09718670938105,33.64654499601983
675,676,105000,3/31/2023,"2684 N 43rd Ave APT C, Phoenix, AZ, 85009",1036.0,sqft,101.35,278.0,sqft,2.0,2.0,2684 N 43rd Ave APT C,Phoenix,85009,1,"2684 N 43RD AVE, PHOENIX, AZ, 85009",-112.15174205323365,33.47771476613423
676,677,105000,3/11/2022,"1120 W Summerside Rd, Phoenix, AZ, 85041",1056.0,sqft,99.43,,,3.0,2.0,1120 W Summerside Rd,Phoenix,85041,1,"1120 W SUMMERSIDE RD, PHOENIX, AZ, 85041",-112.08946893953117,33.35681489095941
677,678,105000,9/1/2021,"2646 N 43rd Ave APT D, Phoenix, AZ, 85009",1106.0,sqft,94.94,2622.0,sqft,3.0,2.0,2646 N 43rd Ave APT D,Phoenix,85009,1,"2646 N 43RD AVE, PHOENIX, AZ, 85009",-112.15174703354944,33.47737112609144
678,679,105000,12/28/2023,"19602 N 32nd St LOT 91, Phoenix, AZ, 85050",1000.0,sqft,105.0,3000.0,sqft,2.0,1.0,19602 N 32nd St LOT 91,Phoenix,85050,1,"19602 N 32ND ST, PHOENIX, AZ, 85050",-112.01372031577688,33.662499094569796
679,680,105200,4/20/2021,"3131 W Cochise Dr UNIT 264, Phoenix, AZ, 85051",752.0,sqft,139.89,84.0,sqft,1.0,1.0,3131 W Cochise Dr UNIT 264,Phoenix,85051,1,"3131 W COCHISE DR, PHOENIX, AZ, 85051",-112.12844633440136,33.580530572104806
680,681,105900,7/29/2021,"4750 N Central Ave UNIT 1H, Phoenix, AZ, 85012",602.0,sqft,175.91,1.0,acres,1.0,1.0,4750 N Central Ave UNIT 1H,Phoenix,85012,1,"4750 N CENTRAL AVE, PHOENIX, AZ, 85012",-112.0738263994404,33.50574741280093
681,682,105900,7/29/2021,"4750 N Central Ave #H1, Phoenix, AZ, 85012",602.0,sqft,175.91,407.0,sqft,1.0,1.0,4750 N Central Ave #H1,Phoenix,85012,1,"4750 N CENTRAL AVE, PHOENIX, AZ, 85012",-112.0738263994404,33.50574741280093
682,683,106000,3/10/2023,"1650 W Willetta St, Phoenix, AZ, 85007",954.0,sqft,111.11,4791.0,sqft,3.0,1.0,1650 W Willetta St,Phoenix,85007,0,"1650 W WILLETTA ST, PHOENIX, AZ, 85007",-112.09490455449304,33.463785983995024
683,684,106000,8/13/2021,"6848 W Monterosa St, Phoenix, AZ, 85033",792.0,sqft,133.84,1313.0,sqft,2.0,1.0,6848 W Monterosa St,Phoenix,85033,1,"6848 W MONTEROSA ST, PHOENIX, AZ, 85033",-112.20404631866586,33.49674111302477
684,685,106000,11/8/2021,"1001 E Keim Dr, Phoenix, AZ, 85014",1220.0,sqft,86.89,7640.0,sqft,,2.0,1001 E Keim Dr,Phoenix,85014,1,"1001 E KEIM DR, PHOENIX, AZ, 85014",-112.06057244104613,33.52657500364245
685,686,106000,6/15/2021,"3526 W Dunlap Ave #140, Phoenix, AZ, 85051",1108.0,sqft,95.67,61.0,sqft,2.0,2.0,3526 W Dunlap Ave #140,Phoenix,85051,1,"3526 W DUNLAP AVE, PHOENIX, AZ, 85051",-112.13519325215196,33.567584401541296
686,687,106000,6/30/2022,"631 N 70th Ave, Phoenix, AZ, 85043",1898.0,sqft,55.85,9893.0,sqft,,2.33,631 N 70th Ave,Phoenix,85043,1,"631 N 70TH AVE, PHOENIX, AZ, 85043",-112.21049828023382,33.45553315184418
687,688,106114,1/14/2022,"4554 N 79th Ave, Phoenix, AZ, 85033",1452.0,sqft,73.08,6910.0,sqft,,2.0,4554 N 79th Ave,Phoenix,85033,1,"4554 N 79TH AVE, PHOENIX, AZ, 85033",-112.22874736984232,33.50362382990295
688,689,106250,12/29/2021,"19637 N 25th Pl, Phoenix, AZ, 85050",720.0,sqft,147.57,6066.0,sqft,1.0,1.0,19637 N 25th Pl,Phoenix,85050,1,"19637 N 25TH PL, PHOENIX, AZ, 85050",-112.02738593495485,33.664898417490406
689,690,107000,3/31/2021,"3351 N 69th Dr UNIT 38, Phoenix, AZ, 85033",700.0,sqft,152.86,1263.0,sqft,,1.0,3351 N 69th Dr UNIT 38,Phoenix,85033,1,"3351 N 69TH DR, PHOENIX, AZ, 85033",-112.20951725292008,33.486720563090216
690,691,107000,2/2/2023,"3810 N Maryvale Pkwy APT 2035, Phoenix, AZ, 85031",1072.0,sqft,99.81,644.0,sqft,1.0,1.0,3810 N Maryvale Pkwy APT 2035,Phoenix,85031,1,"3810 N MARYVALE PKWY, PHOENIX, AZ, 85031",-112.17420499727262,33.49205264437711
691,692,107000,1/11/2022,"2929 N 39th St UNIT 10, Phoenix, AZ, 85018",1625.0,sqft,65.85,871.0,sqft,3.0,2.0,2929 N 39th St UNIT 10,Phoenix,85018,1,"2929 N 39TH ST, PHOENIX, AZ, 85018",-111.99760780007239,33.480996250303235
692,693,107000,1/24/2023,"4022 S 24th Pl, Phoenix, AZ, 85040",,,,7855.0,sqft,,,4022 S 24th Pl,Phoenix,85040,0,"4022 S 24TH PL, PHOENIX, AZ, 85040",-112.02866558300593,33.410295171804535
693,694,107500,12/13/2021,"3810 N Maryvale Pkwy APT 2039, Phoenix, AZ, 85031",936.0,sqft,114.85,1023.0,sqft,2.0,2.0,3810 N Maryvale Pkwy APT 2039,Phoenix,85031,1,"3810 N MARYVALE PKWY, PHOENIX, AZ, 85031",-112.17420499727262,33.49205264437711
694,695,107500,7/21/2021,"3810 N Maryvale Pkwy APT 2099, Phoenix, AZ, 85031",936.0,sqft,114.85,1008.0,sqft,2.0,2.0,3810 N Maryvale Pkwy APT 2099,Phoenix,85031,1,"3810 N MARYVALE PKWY, PHOENIX, AZ, 85031",-112.17420499727262,33.49205264437711
695,696,107650,11/30/2023,"239 E Elwood St, Phoenix, AZ, 85040",718.0,sqft,149.93,10455.0,sqft,,1.0,239 E Elwood St,Phoenix,85040,1,"239 E ELWOOD ST, PHOENIX, AZ, 85040",-112.069440015927,33.413949591701
696,697,107800,12/12/2023,"520 W Clarendon Ave UNIT C-3, Phoenix, AZ, 85013",1240.0,sqft,86.94,1.67,acres,2.0,2.0,520 W Clarendon Ave UNIT C-3,Phoenix,85013,1,"520 W CLARENDON AVE, PHOENIX, AZ, 85013",-112.08083237782796,33.491547251837744
697,698,107846,12/1/2023,"4031 W Denton Ln, Phoenix, AZ, 85019",1715.0,sqft,62.88,8363.0,sqft,4.0,2.0,4031 W Denton Ln,Phoenix,85019,1,"4031 W DENTON LN, PHOENIX, AZ, 85019",-112.14664072340173,33.51568979516992
698,699,107966,12/14/2021,"1831 W Cocopah St, Phoenix, AZ, 85007",1027.0,sqft,105.13,6003.0,sqft,2.0,1.0,1831 W Cocopah St,Phoenix,85007,1,"1831 W COCOPAH ST, PHOENIX, AZ, 85007",-112.09852551902162,33.43155428302936
699,700,108000,9/29/2022,"4338 E Ellis St, Phoenix, AZ, 85042",,,,8056.0,sqft,,,4338 E Ellis St,Phoenix,85042,0,"4338 E ELLIS ST, PHOENIX, AZ, 85042",-111.98788205667421,33.37935697842613
700,701,108000,3/19/2021,"4208 S 47th St, Phoenix, AZ, 85040",924.0,sqft,116.88,1359.0,sqft,2.0,1.0,4208 S 47th St,Phoenix,85040,1,"4208 S 47TH ST, PHOENIX, AZ, 85040",-111.98063082276639,33.409187448298724
701,702,108000,12/29/2022,"5737 S 21st Pl, Phoenix, AZ, 85040",1627.0,sqft,66.38,829.0,sqft,3.0,3.0,5737 S 21st Pl,Phoenix,85040,1,"5737 S 21ST PL, PHOENIX, AZ, 85040",-112.0344362254728,33.39409173230115
702,703,108000,9/8/2022,"2606 W Berridge Ln UNIT 208, Phoenix, AZ, 85017",600.0,sqft,180.0,,,1.0,1.0,2606 W Berridge Ln UNIT 208,Phoenix,85017,1,"2606 W BERRIDGE LN, PHOENIX, AZ, 85017",-112.11658728284158,33.52595858734526
703,704,109000,8/25/2023,"3732 W Alameda Rd, Glendale, AZ, 85310",2227.0,sqft,48.94,8712.0,sqft,5.0,3.0,3732 W Alameda Rd,Glendale,85310,1,"3732 W ALAMEDA RD, GLENDALE, AZ, 85310",-112.14411028437019,33.705940496072515
704,705,109000,8/6/2021,"11420 N 16th St, Phoenix, AZ, 85020",,,,0.33,acres,,,11420 N 16th St,Phoenix,85020,0,"11420 N 16TH ST, PHOENIX, AZ, 85020",-112.04781675681966,33.590214907285144
705,706,109000,12/17/2021,"2701 E Utopia Rd LOT 47, Phoenix, AZ, 85050",1568.0,sqft,69.52,,,3.0,2.0,2701 E Utopia Rd LOT 47,Phoenix,85050,1,"2701 E UTOPIA RD, PHOENIX, AZ, 85050",-112.02445913631738,33.662268555504454
706,707,109200,3/2/2023,"15601 N 19th Ave #36, Phoenix, AZ, 85023",1210.0,sqft,90.25,,,3.0,2.0,15601 N 19th Ave #36,Phoenix,85023,1,"15601 N 19TH AVE, PHOENIX, AZ, 85023",-112.09961379483019,33.62748127415739
707,708,109300,2/15/2024,"1422 S 11th Ave, Phoenix, AZ, 85007",705.0,sqft,155.04,6007.0,sqft,,1.0,1422 S 11th Ave,Phoenix,85007,0,"1422 S 11TH AVE, PHOENIX, AZ, 85007",-112.08692923044413,33.43469221789013
708,709,109500,5/18/2021,"2670 N 43rd Ave #20A, Phoenix, AZ, 85009",957.0,sqft,114.42,2850.0,sqft,,1.0,2670 N 43rd Ave #20A,Phoenix,85009,1,"2670 N 43RD AVE, PHOENIX, AZ, 85009",-112.15174388808691,33.47758816190793
709,710,109500,4/1/2021,"4645 E Jones Ave, Phoenix, AZ, 85040",924.0,sqft,118.51,1159.0,sqft,2.0,1.0,4645 E Jones Ave,Phoenix,85040,1,"4645 E JONES AVE, PHOENIX, AZ, 85040",-111.98106280144606,33.40983377634899
710,711,109845,4/27/2021,"2815 N 39th Dr, Phoenix, AZ, 85009",1320.0,sqft,83.22,8912.0,sqft,,2.0,2815 N 39th Dr,Phoenix,85009,1,"2815 N 39TH DR, PHOENIX, AZ, 85009",-112.14417102372789,33.47924556403211
711,712,109900,4/26/2021,"3054 E Villa Rita Dr, Phoenix, AZ, 85032",1407.0,sqft,78.11,6414.0,sqft,,2.0,3054 E Villa Rita Dr,Phoenix,85032,1,"3054 E VILLA RITA DR, PHOENIX, AZ, 85032",-112.0165537052323,33.65119179192095
712,713,109900,7/14/2023,"303 E South Mountain Ave LOT 184, Phoenix, AZ, 85042",1780.0,sqft,61.74,,,3.0,2.0,303 E South Mountain Ave LOT 184,Phoenix,85042,1,"303 E SOUTH MOUNTAIN AVE, PHOENIX, AZ, 85042",-112.06976945899476,33.37050065221274
713,714,110000,4/19/2022,"4447 N 84th Ave, Phoenix, AZ, 85037",934.0,sqft,117.77,4114.0,sqft,2.0,2.0,4447 N 84th Ave,Phoenix,85037,1,"4447 N 84TH AVE, PHOENIX, AZ, 85037",-112.23962223522102,33.50148422243632
714,715,110000,7/29/2022,"2664 N 43rd Ave #17B, Phoenix, AZ, 85009",1036.0,sqft,106.18,269.0,sqft,2.0,1.0,2664 N 43rd Ave #17B,Phoenix,85009,1,"2664 N 43RD AVE, PHOENIX, AZ, 85009",-112.15174467445252,33.47753390295378
715,716,110000,9/3/2021,"2674 N 43rd Ave #22C, Phoenix, AZ, 85009",1036.0,sqft,106.18,270.0,sqft,2.0,1.5,2674 N 43rd Ave #22C,Phoenix,85009,1,"2674 N 43RD AVE, PHOENIX, AZ, 85009",-112.15174336384314,33.47762433454403
716,717,110000,10/18/2021,"2698 N 43rd Ave #34C, Phoenix, AZ, 85009",1036.0,sqft,106.18,266.0,sqft,,1.0,2698 N 43rd Ave #34C,Phoenix,85009,1,"2698 N 43RD AVE, PHOENIX, AZ, 85009",-112.151739655693,33.47793717867114
717,718,110000,4/29/2022,"1641 S 29th Ave, Phoenix, AZ, 85009",588.0,sqft,187.07,7541.0,sqft,,,1641 S 29th Ave,Phoenix,85009,0,"1641 S 29TH AVE, PHOENIX, AZ, 85009",-112.12149832808876,33.43196700020178
718,719,110000,8/16/2022,"5802 S 41st Dr, Phoenix, AZ, 85041",,,,10314.0,sqft,,,5802 S 41st Dr,Phoenix,85041,0,"5802 S 41ST DR, PHOENIX, AZ, 85041",-112.14771659631367,33.393876610583334
719,720,110000,4/7/2021,"3840 N 43rd Ave APT 50, Phoenix, AZ, 85031",1243.0,sqft,88.5,601.0,sqft,3.0,2.0,3840 N 43rd Ave APT 50,Phoenix,85031,1,"3840 N 43RD AVE, PHOENIX, AZ, 85031",-112.15174100026968,33.492485990624004
720,721,110000,3/8/2022,"3840 N 43rd Ave APT 63, Phoenix, AZ, 85031",980.0,sqft,112.24,496.0,sqft,2.0,2.0,3840 N 43rd Ave APT 63,Phoenix,85031,1,"3840 N 43RD AVE, PHOENIX, AZ, 85031",-112.15174100026968,33.492485990624004
721,722,110000,8/11/2023,"2345 W Monroe St, Phoenix, AZ, 85009",772.0,sqft,142.49,7100.0,sqft,,1.0,2345 W Monroe St,Phoenix,85009,1,"2345 W MONROE ST, PHOENIX, AZ, 85009",-112.1097828814938,33.45014099298413
722,723,110000,10/22/2021,"2620 W Jefferson St, Phoenix, AZ, 85009",900.0,sqft,122.22,8120.0,sqft,,,2620 W Jefferson St,Phoenix,85009,0,"2620 W JEFFERSON ST, PHOENIX, AZ, 85009",-112.11588556671813,33.44731586544492
723,724,110000,6/1/2022,"1807 W Osborn Rd, Phoenix, AZ, 85015",2426.0,sqft,45.34,0.33,acres,4.0,3.0,1807 W Osborn Rd,Phoenix,85015,1,"1807 W OSBORN RD, PHOENIX, AZ, 85015",-112.09786186639303,33.487750166996705
724,725,110000,2/2/2024,"1338 W Tonto St, Phoenix, AZ, 85007",960.0,sqft,114.58,9300.0,sqft,3.0,2.0,1338 W Tonto St,Phoenix,85007,1,"1338 W TONTO ST, PHOENIX, AZ, 85007",-112.08996772304283,33.43785118090517
725,726,110000,2/22/2022,"519 W Atlanta Ave, Phoenix, AZ, 85041",495.0,sqft,222.22,6007.0,sqft,1.0,1.0,519 W Atlanta Ave,Phoenix,85041,1,"519 W ATLANTA AVE, PHOENIX, AZ, 85041",-112.07894890731154,33.400080594090184
726,727,110000,7/16/2021,"4212 S 46th Pl, Phoenix, AZ, 85040",924.0,sqft,119.05,1135.0,sqft,,1.0,4212 S 46th Pl,Phoenix,85040,1,"4212 S 46TH PL, PHOENIX, AZ, 85040",-111.98165578350222,33.40930113657811
727,728,110000,5/13/2021,"4603 E Riverside St, Phoenix, AZ, 85040",1008.0,sqft,109.13,1145.0,sqft,3.0,1.0,4603 E Riverside St,Phoenix,85040,1,"4603 E RIVERSIDE ST, PHOENIX, AZ, 85040",-111.98180299309911,33.408954587823644
728,729,110000,7/29/2021,"4648 E Wood St, Phoenix, AZ, 85040",924.0,sqft,119.05,1403.0,sqft,2.0,1.0,4648 E Wood St,Phoenix,85040,1,"4648 E WOOD ST, PHOENIX, AZ, 85040",-111.98100872516164,33.40846053600694
729,730,110000,3/19/2021,"4004 S 44th Pl, Phoenix, AZ, 85040",1041.0,sqft,105.67,888.0,sqft,3.0,2.0,4004 S 44th Pl,Phoenix,85040,1,"4004 S 44TH PL, PHOENIX, AZ, 85040",-111.98569355030253,33.41037735043142
730,731,110000,4/9/2021,"4403 E Riverside St, Phoenix, AZ, 85040",1090.0,sqft,100.92,962.0,sqft,2.0,2.0,4403 E Riverside St,Phoenix,85040,1,"4403 E RIVERSIDE ST, PHOENIX, AZ, 85040",-111.9868016345373,33.40918858805151
731,732,110000,8/3/2021,"4545 N 67th Ave UNIT 1417, Phoenix, AZ, 85033",769.0,sqft,143.04,701.0,sqft,,1.33,4545 N 67th Ave UNIT 1417,Phoenix,85033,1,"4545 N 67TH AVE, PHOENIX, AZ, 85033",-112.2031173791471,33.502641599981246
732,733,110000,5/3/2021,"3955 W Palomino Rd, Phoenix, AZ, 85019",924.0,sqft,119.05,2256.0,sqft,2.0,1.0,3955 W Palomino Rd,Phoenix,85019,1,"3955 W PALOMINO RD, PHOENIX, AZ, 85019",-112.14476786672117,33.50984947352225
733,734,110000,9/7/2022,"3437 W Tangerine Ln, Phoenix, AZ, 85051",986.0,sqft,111.56,2130.0,sqft,,1.0,3437 W Tangerine Ln,Phoenix,85051,1,"3437 W TANGERINE LN, PHOENIX, AZ, 85051",-112.13323614797343,33.564229882647
734,735,110000,10/5/2023,"2729 W Augusta Ave, Phoenix, AZ, 85051",1260.0,sqft,87.3,0.76,acres,,1.0,2729 W Augusta Ave,Phoenix,85051,1,"2729 W AUGUSTA AVE, PHOENIX, AZ, 85051",-112.1176228982082,33.551173951903706
735,736,110000,8/19/2021,"3228 W Glendale Ave #67, Phoenix, AZ, 85051",1184.0,sqft,92.91,806.0,sqft,,2.67,3228 W Glendale Ave #67,Phoenix,85051,1,"3228 W GLENDALE AVE, PHOENIX, AZ, 85051",-112.12897727607526,33.53858816922883
736,737,110000,12/1/2023,"1702 W Tuckey Ln UNIT 118, Phoenix, AZ, 85015",863.0,sqft,127.46,863.0,sqft,2.0,2.0,1702 W Tuckey Ln UNIT 118,Phoenix,85015,1,"1702 W TUCKEY LN, PHOENIX, AZ, 85015",-112.095602694192,33.53438055221494
737,738,110000,1/7/2022,"925 W Peoria Ave APT 18, Phoenix, AZ, 85029",875.0,sqft,125.71,8105.0,sqft,,1.0,925 W Peoria Ave APT 18,Phoenix,85029,1,"925 W PEORIA AVE, PHOENIX, AZ, 85029",-112.08517152752546,33.582112024946184
738,739,110000,7/14/2021,"9010 N 9th St APT 1, Phoenix, AZ, 85020",782.0,sqft,140.66,6000.0,sqft,2.0,1.0,9010 N 9th St APT 1,Phoenix,85020,1,"9010 N 9TH ST, PHOENIX, AZ, 85020",-112.0616234709862,33.567905142309485
739,740,110000,6/9/2021,"22425 N 29th Ave, Phoenix, AZ, 85027",,,,9801.0,sqft,,,22425 N 29th Ave,Phoenix,85027,0,"22425 N 29TH AVE, PHOENIX, AZ, 85027",-112.1216954864297,33.69023847385529
740,741,110000,5/28/2021,"3609 W Potter Dr, Glendale, AZ, 85308",1600.0,sqft,68.75,0.26,acres,2.0,2.0,3609 W Potter Dr,Glendale,85308,0,"3609 W POTTER DR, GLENDALE, AZ, 85308",-112.13737536079947,33.67578062416345
741,742,110000,12/6/2021,"3611 W Salter Dr, Glendale, AZ, 85308",672.0,sqft,163.69,9918.0,sqft,,,3611 W Salter Dr,Glendale,85308,0,"3611 W SALTER DR, GLENDALE, AZ, 85308",-112.13779043462347,33.68174604040212
742,743,110000,5/21/2021,"509 E Charleston Ave, Phoenix, AZ, 85022",911.0,sqft,120.75,6677.0,sqft,2.0,1.0,509 E Charleston Ave,Phoenix,85022,0,"509 E CHARLESTON AVE, PHOENIX, AZ, 85022",-112.06778731913158,33.649004670033776
743,744,110000,6/30/2023,"17834 N 2nd St, Phoenix, AZ, 85022",924.0,sqft,119.05,6134.0,sqft,3.0,2.0,17834 N 2nd St,Phoenix,85022,0,"17834 N 2ND ST, PHOENIX, AZ, 85022",-112.0718411639914,33.64825294463736
744,745,110000,8/14/2023,"1621 W Morrow Dr, Phoenix, AZ, 85027",1816.0,sqft,60.57,8213.0,sqft,4.0,2.0,1621 W Morrow Dr,Phoenix,85027,1,"1621 W MORROW DR, PHOENIX, AZ, 85027",-112.09361069829771,33.65712352228098
745,746,110000,4/12/2021,"19854 N 29th St, Phoenix, AZ, 85050",1224.0,sqft,89.87,9540.0,sqft,3.0,2.0,19854 N 29th St,Phoenix,85050,0,"19854 N 29TH ST, PHOENIX, AZ, 85050",-112.02115829866756,33.66719596792035
746,747,110000,9/15/2021,"18202 N Cave Creek Rd APT 114, Phoenix, AZ, 85032",836.0,sqft,131.58,788.0,sqft,2.0,1.0,18202 N Cave Creek Rd APT 114,Phoenix,85032,1,"18202 N CAVE CREEK RD, PHOENIX, AZ, 85032",-112.03091965454797,33.65147466605771
747,748,110000,9/17/2021,"18202 N Cave Creek Rd APT 140, Phoenix, AZ, 85032",836.0,sqft,131.58,850.0,sqft,2.0,1.0,18202 N Cave Creek Rd APT 140,Phoenix,85032,1,"18202 N CAVE CREEK RD, PHOENIX, AZ, 85032",-112.03091965454797,33.65147466605771
748,749,110000,5/3/2021,"1019 E Villa Maria Dr, Phoenix, AZ, 85022",1097.0,sqft,100.27,3356.0,sqft,,2.33,1019 E Villa Maria Dr,Phoenix,85022,1,"1019 E VILLA MARIA DR, PHOENIX, AZ, 85022",-112.05966402090888,33.65183755878638
749,750,110000,6/6/2023,"17222 N 14th St, Phoenix, AZ, 85022",1440.0,sqft,76.39,6074.0,sqft,2.0,2.0,17222 N 14th St,Phoenix,85022,1,"17222 N 14TH ST, PHOENIX, AZ, 85022",-112.0532584770275,33.64293314885765
750,751,110000,9/20/2023,"16410 N 32nd Pl, Phoenix, AZ, 85032",1500.0,sqft,73.33,5972.0,sqft,2.0,2.0,16410 N 32nd Pl,Phoenix,85032,1,"16410 N 32ND PL, PHOENIX, AZ, 85032",-112.01290747539247,33.63567822750707
751,752,110000,8/14/2023,"16434 N 33rd Pl, Phoenix, AZ, 85032",1284.0,sqft,85.67,4931.0,sqft,,,16434 N 33rd Pl,Phoenix,85032,0,"16434 N 33RD PL, PHOENIX, AZ, 85032",-112.01043079751787,33.6364064172987
752,753,110000,1/10/2023,"13638 S 38th Way, Phoenix, AZ, 85044",1074.0,sqft,102.42,3306.0,sqft,2.0,2.0,13638 S 38th Way,Phoenix,85044,1,"13638 S 38TH WAY, PHOENIX, AZ, 85044",-112.00000568432205,33.32332973610289
753,754,110000,7/2/2021,"3526 W Dunlap Ave #145, Phoenix, AZ, 85051",1108.0,sqft,99.28,63.0,sqft,2.0,2.0,3526 W Dunlap Ave #145,Phoenix,85051,1,"3526 W DUNLAP AVE, PHOENIX, AZ, 85051",-112.13519325215196,33.567584401541296
754,755,110000,7/27/2021,"3526 W Dunlap Ave #165, Phoenix, AZ, 85051",1251.0,sqft,87.93,60.0,sqft,2.0,1.5,3526 W Dunlap Ave #165,Phoenix,85051,1,"3526 W DUNLAP AVE, PHOENIX, AZ, 85051",-112.13519325215196,33.567584401541296
